Médaille,Date,Jour,Athlète,Sexe,Discipline,Épreuve,Points
Silver,2024-11-08,8,Elodie CLOUVEL,F,Modern Pentathlon,Women's Individual,2
Silver,2024-07-29,29,Sara BALZER,F,Fencing,Women's Sabre Individual,2
Bronze,2024-02-08,8,France,Équipe,Equestrian,Jumping Team,1
Silver,2024-07-29,29,France,H,Archery,Men's Team,2
Bronze,2024-07-28,28,Amandine BUCHARD,F,Judo,Women -52 kg,1
Silver,2024-05-08,8,Angele HUG,F,Canoe Slalom,Women's Kayak Cross,2
Bronze,2024-07-27,27,Shirine BOUKLI,F,Judo,Women -48 kg,1
Bronze,2024-02-08,8,Romain MAHIEU,H,Cycling BMX Racing,Men,1
Silver,2024-03-08,8,Camille JEDRZEJEWSKI,F,Shooting,25m Pistol Women,2
Bronze,2024-07-31,31,Anthony JEANJEAN,H,Cycling BMX Freestyle,Men's Park,1
Silver,2024-03-08,8,Valentin MADOUAS,H,Cycling Road,Men's Road Race,2
Bronze,2024-09-08,8,France,H,Table Tennis,Men's Team,1
Gold,2024-02-08,8,Joris DAUDET,H,Cycling BMX Racing,Men,3
Gold,2024-07-28,28,Pauline FERRAND PREVOT,F,Cycling Mountain Bike,Women's Cross-country,3
Silver,2024-07-31,31,Anastasiia KIRPICHNIKOVA,F,Swimming,Women's 1500m Freestyle,2
Bronze,2024-07-31,31,France,H,Fencing,Men's Sabre Team,1
Silver,2024-08-08,8,Billal BENNAMA,H,Boxing,Men's 51kg,2
Bronze,2024-07-30,30,Clarisse AGBEGNENOU,F,Judo,Women -63 kg,1
Bronze,2024-03-08,8,Christophe LAPORTE,H,Cycling Road,Men's Road Race,1
Bronze,2024-02-08,8,Florent MANAUDOU,H,Swimming,Men's 50m Freestyle,1
Gold,2024-07-29,29,Manon APITHY-BRUNET,F,Fencing,Women's Sabre Individual,3
Silver,2024-09-08,8,France,H,Football,Men,2
Gold,2024-07-27,27,France,H,Rugby Sevens,Men,3
Silver,2024-07-08,8,Sofiane OUMIHA,H,Boxing,Men's 63.5kg,2
Silver,2024-07-29,29,Victor KORETZKY,H,Cycling Mountain Bike,Men's Cross-country,2
Gold,2024-07-28,28,Leon MARCHAND,H,Swimming,Men's 400m Individual Medley,3
Bronze,2024-07-08,8,Cyrian RAVET,H,Taekwondo,Men -58kg,1
Gold,2024-07-31,31,Leon MARCHAND,H,Swimming,Men's 200m Breaststroke,3
Silver,2024-05-08,8,France,H,3x3 Basketball,Men,2
Silver,2024-10-08,8,France,H,Basketball,Men,2
Silver,2024-07-29,29,France,Équipe,Equestrian,Eventing Team,2
Gold,2024-07-31,31,Cassandre BEAUGRAND,F,Triathlon,Women's Individual,3
Gold,2024-08-08,8,Benjamin THOMAS,H,Cycling Track,Men's Omnium,3
Gold,2024-03-08,8,France,Mixte,Judo,Mixed Team,3
Bronze,2024-02-08,8,STEYAERT/PICON,F,Sailing,Women's Skiff,1
Silver,2024-10-08,8,Cyrena SAMBA-MAYELA,F,Athletics,Women's 100m Hurdles,2
Silver,2024-01-08,8,Titouan CASTRYCK,H,Canoe Slalom,Men's Kayak Single,2
Bronze,2024-02-08,8,Romane DICKO,F,Judo,Women +78 kg,1
Bronze,2024-07-31,31,Leo BERGERE,H,Triathlon,Men's Individual,1
Bronze,2024-07-08,8,Djamili-Dini ABOUDOU MOINDZE,H,Boxing,Men's +92kg,1
Gold,2024-02-08,8,Leon MARCHAND,H,Swimming,Men's 200m Individual Medley,3
Bronze,2024-04-08,8,France,H,Swimming,Men's 4 x 100m Medley Relay,1
Silver,2024-10-08,8,France,F,Handball,Women,2
Gold,2024-10-08,8,France,H,Volleyball,Men,3
Bronze,2024-04-08,8,France,H,Fencing,Men's Foil Team,1
Silver,2024-07-27,27,Luka MKHEIDZE,H,Judo,Men -60 kg,2
Silver,2024-07-29,29,Joan-Benjamin GABA,H,Judo,Men -73 kg,2
Gold,2024-05-08,8,Kauli VAAST,H,Surfing,Men,3
Silver,2024-02-08,8,Sylvain ANDRE,H,Cycling BMX Racing,Men,2
Silver,2024-07-28,28,Yannick BOREL,H,Fencing,Men's Épée Individual,2
Silver,2024-10-08,8,DANY DANN,H,Breaking,B-Boys,2
Gold,2024-07-29,29,Nicolas GESTIN,H,Canoe Slalom,Men's Canoe Single,3
Bronze,2024-07-29,29,Sarah Leonie CYSIQUE,F,Judo,Women -57 kg,1
Gold,2024-10-08,8,Althea LAURIN,F,Taekwondo,Women +67kg,3
Gold,2024-07-31,31,Leon MARCHAND,H,Swimming,Men's 200m Butterfly,3
Silver,2024-11-08,8,France,F,Basketball,Women,2
Silver,2024-07-30,30,France,F,Fencing,Women's Épée Team,2
Silver,2024-08-08,8,Lauriane NOLOT,F,Sailing,Women's Kite,2
Bronze,2024-07-31,31,Maxime-Gael NGAYAP HAMBOU,H,Judo,Men -90 kg,1
Gold,2024-02-08,8,Teddy RINER,H,Judo,Men +100 kg,3
Silver,2024-07-27,27,Auriane MALLO-BRETON,F,Fencing,Women's Épée Individual,2
Bronze,2024-03-08,8,Lisa BARBELIN,F,Archery,Women's Individual,1
Bronze,2024-05-08,8,Johanne DEFAY,F,Surfing,Women,1
Bronze,2024-04-08,8,Felix LEBRUN,H,Table Tennis,Men's Singles,1
